name,category,type,source
"CSF","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CSF – Glucose","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CSF – Lactate","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CSF – Protein","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CSF Bilirubin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CSF Xanthochromia","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CTX","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Culture","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cyclic citrullinated peptide (CCP)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cyclosporin A","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cystatin C","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cystic Fibrosis","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cytomegalovirus (CMV) IgG","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cytomegalovirus (CMV) IgG avidity","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cytomegalovirus (CMV) IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cytomegalovirus anitviral resistance markers","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cytomegalovirus viral load","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"DHEA – sulphate","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Digoxin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Diphtheria IgG antibody determination","Vaccine Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Direct Antiglobulin Test","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"DNA Testing for the Haemoglobinopathies","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Double Negative T Cell (DNT) panel","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Double stranded DNA antibodies (IgG)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Dried blood spot Hepatitis B core antibody","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Dried blood spot Hepatitis B surface antigen","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Dried blood spot Hepatitis C antibody","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Dried blood spot Hepatitis C genotyping","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Dried blood spot Hepatitis C RNA screening","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Dried blood spot HIV Ag/Ab","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Dried blood spot Syphilis antibody","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Drugs of abuse (urine screen)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ear","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"EBNA","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"EBV (EBNA)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"EBV (Epstein Barr Virus) viral load","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"EBV VCA IgG – screening","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"EBV VCA IgM – screening","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"eGfR (estimated GfR)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ehrlichia IF (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Elastase (faeces)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Electrolytes (urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Electron microscopy","Histopathology / Anatomic Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"EMA binding assay for Hereditary Spherocytosis","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"ENA antibodies includes: Ro (SS-A 52, SSA-60), La (SS-B), Sm, Sm/RNP, RNP (RNP A, RNP 68), Ribosomal P, Chromatin, Jo-1, and Scl-70","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Entamoeba","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Enteric Virus Panel","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Enterovirus and parechovirus PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Enzyme histochemistry","Histopathology / Anatomic Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"EPO","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Epstein Barr Virus (EBNA) confirmation","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Epstein Barr Virus (EBV) IgG – screening","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Epstein Barr Virus (EBV) IgM – screening","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Epstein Barr Virus screening","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Erythropoietin","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ethanol (drinking alcohol)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Eye","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor II assay","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor IX assay","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor IX inhibitors","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor V assay","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor V Leiden Mutation screen","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor VII assay","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor VIII assay","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor VIII inhibitors","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor X assay","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor XI assay","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Factor XII assay","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Faecal immunochemical testing","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Faecal reducing substances","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Faeces Bacteria/Parasite PCR – Serosep DX","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Failing metal-on-metal prosthetic joints","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Farmer’s lung precipitins","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"FBC","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"FDP D-Dimers","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Features associated with ganglia","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Features of Juvenile inflammatory arthropathy","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Features of rheumatoid disease","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ferritin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Fibrin Degradation Products","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Fibrinogen","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"FIT","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Flucytosine","Mycology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Fluids from Normally Sterile Sites","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Folate (serum and red cell)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Follicle stimulating hormone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Free fatty acids","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Free Light Chains","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Free T3","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Free T4","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Free thyroxine","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Free Tri-iodothyronine","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"FSH","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Full blood count and automated differential","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Functional antibody to Neisseria meningitidis serogroup B by Serum Bactericidal Antibody Assay (SBA)","Vaccine Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Fungal beta D glucan assay","Mycology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Fungi – Special Stain","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"G6PD Assay (if screen gives intermediate or reduced result)","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"G6PD Screen","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"GABAb receptor & AMPA receptor 1/2 antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Galactomannan referral","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Gamma-glutamyl transferase","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ganglioside Abs GM1","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ganglioside Abs GQ1b","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Gases","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Gastric Biopsies for Helicobacter pylori","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Gastric Parietal Cell (GPC)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Genital specimens for culture","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Gentamicin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"GGT","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Giardia lamblia","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Glandular fever screening test","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Glomerular basement membrane antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Glucose","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Glutamic Acid Decarboxylase Antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Glycated Haemoglobin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Glycogen – Special Stain","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Gout (urate crystals)","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"GPC","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Gram +ve/-ve sepsis","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Growth Hormone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Haematinics – Serum intrinisic factor antibodies","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Haemochromatosis C282Y, H63D and S65C genotyping","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Haemoglobinopathy Screening","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Haemophilius influenze type b antibody","Vaccine Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Haptoglobulin Estimation","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HAV","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HbA1c","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HbS Screening Test – Urgent/pre-operative (Pts >1 yr Old)","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HBsAg","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HBV confirmation","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HBV core antibodies","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HBV core antibody – Dried Blood Spot","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HBV core IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HBV resistance markers","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HBV surface antibody","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HCG blood (pregnancy and as tumour marker)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HCV genotyping","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Helicobacter pylori","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Helicobacter pylori in Gastric Biopsies","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Heparin control","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis A total antibody (IgG and IgM)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis A virus (HAV) IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B (HBV) confirmation","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B (HBV) core antibodies","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B (HBV) core antibody – Dried Blood Spot","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B (HBV) core IgM (anti-HBc IgM)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B (HBV) surface antibody (Anti-HBs)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B (HBV) surface antigen (HBsAg)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B (HBV) surface antigen (HBsAg) – Dried Blood Spot","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B e antibody","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B e antigen","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B virus (HBV) e antigen (HBeAg) and e antibody (Anti-HBe)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B virus Genotyping and Resistance Markers","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis B virus viral load","Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis C antibody (HCV) screen and confirmation","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis C antibody (HCV) screen and confirmation – Dried Blood Spot","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis C qualitative PCR and genotype if HCV antibody is reactive – Dried Blood Spot","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis C viral load","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis D (delta) antibody","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis E IgG (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Hepatitis E IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Herpes simplex 1/2 antibody (IgG type specific, Total IgM and Total IgG)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Herpes simplex virus types 1 and 2 PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HFE","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"hGH","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HHV6 & 7 PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"High Risk HPV Test of Cure","Gynaecological Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"High Risk HPV triage","Gynaecological Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Histone Abs","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Histopathology – Paediatric Histopathology","Histopathology / Anatomic Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Histopathology – Routine (adult) Histopathology","Histopathology / Anatomic Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Histoplasma (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HIV 1 and 2 antibody and p24 antigen screen – Dried Blood Spot","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HIV confirmation (screen test plus at least two further tests for HIV 1/2) Virology","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HIV p24 antigen Virology","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HIV resistance, integrase, tropism Molecular Microbiology","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HIV screen (4th generation: HIV1 and 2 antibody and p24 antigen)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HIV-1 viral load","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"HTLV 1 and 2 antibody","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Human Chorionic Gonadotrophin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Human Herpes virus 6 & 7","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Human Papilloma Virus Screening","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Human Parvovirus B19 IgG","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Human Parvovirus B19 IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Human Parvovirus B19 viral load","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Human T Lymphotropic virus (HTLV) 1 and 2","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"IA2","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"IgE (Total)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"IGF-1","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"IGFBP-3","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"IgG subclasses","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Immunocytochemistry","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Immunodeficiency (T&B Lymphocyte Subsets)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Immunofluorescence Histopathology","Histopathology / Anatomic Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Immunoglobulin D, IgD","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Immunoglobulins (IgG, IgA, IgM)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Inflammatory/non-inflammatory bursitis","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"INR","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Insulin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Insulin Antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Insulin-like Growth Factor 1","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Insulin-like Growth Factor Binding Protein 3","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Intravascular cannulae","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Invasive infection with Aspergillus","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Invasive infection with Candida","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Iron","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"JC virus PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Jejunal Disaccharidases","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Joint fluids","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Lactate","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Lactate Dehydrogenase (LDH)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Lamotrigine","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Legionella urinary antigen detection","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Leptospira (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Leukocyte Adhesion Deficiency (LAD) Markers","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"LH","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Lipase (blood and fluid)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Lipid profile incl. total cholesterol, LDL, HDL, triglyceride","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Lithium (serum)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Liver FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Liver Function Tests","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Liver Kidney Microsomal (LKM)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"LKM","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"L-Selectin Shedding assay","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Lung FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Lupus anticoagulant","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Luteinising Hormone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Lyme Disease","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Lymph node FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"MAG","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Magnesium (Blood and Urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Malarial parasites, detection of","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mannose Binding Lectins","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Manual blood film","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mast Cell Tryptase","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Measles IgG","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Measles IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Measles virus PCR","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mediastinal mass FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Meningococcal DNA detection by PCR (multiplex with Pneumococcal DNA PCR)","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
